x_m,y_m,width_left_m,width_right_m,vx_mps
-70.5933531,45.2506627,0.5394448,1.6518988,13.4097371
-70.6651076,45.3203163,0.537622,1.6595203,13.2935211
-70.7368615,45.3899672,0.5357992,1.6671417,13.1766086
-70.8086142,45.4596176,0.5342818,1.6707292,13.0593827
-70.8803654,45.5292701,0.5328498,1.673186,12.9418225
-70.9521139,45.5989262,0.5314179,1.6756428,12.8239063
-71.0238582,45.6685872,0.529986,1.6780995,12.7056119
-71.0955968,45.7382545,0.5285541,1.6805563,12.5869164
-71.1673283,45.8079296,0.5271222,1.6830131,12.4677959
-71.2390513,45.8776139,0.5256903,1.6854699,12.3482258
-71.3107644,45.9473088,0.5242584,1.6879266,12.2281808
-71.3824662,46.0170158,0.5228265,1.6903834,12.1076342
-71.4541531,46.0867342,0.5213945,1.6928402,11.9865565
-71.5258248,46.1564663,0.5201026,1.694373,11.8649178
-71.5974811,46.2262149,0.5188512,1.6956378,11.7426885
-71.6691207,46.2959813,0.5175999,1.6969027,11.6198378
-71.7407422,46.3657671,0.5163485,1.6981675,11.4963338
-71.8123444,46.4355738,0.5150972,1.6994323,11.3721428
-71.8839261,46.5054028,0.5138458,1.7006972,11.2472301
-71.9554858,46.5752557,0.5125945,1.701962,11.121559
-72.0270223,46.6451339,0.5113431,1.7032268,10.9950914
-72.0985343,46.7150389,0.5100918,1.7044916,10.8677871
-72.1700198,46.7849715,0.5088404,1.7057565,10.7394347
-72.2414785,46.8549319,0.5078942,1.7067058,10.6099034
-72.3129108,46.9249199,0.5070396,1.7075604,10.4791509
-72.3843164,46.9949348,0.5061849,1.7084151,10.3471322
-72.4556953,47.0649757,0.5053302,1.7092698,10.2137993
-72.5270473,47.1350419,0.5044756,1.7101244,10.0791013
-72.5983723,47.2051326,0.5036209,1.7109791,9.9429839
-72.6696701,47.2752471,0.5027663,1.7118337,9.8053893
-72.7409407,47.3453845,0.5019116,1.7126884,9.6662556
-72.8121838,47.4155442,0.5010569,1.7135431,9.5255164
-72.8834041,47.4857313,0.5002023,1.7143977,9.3842518
-72.9545915,47.5559515,0.5,1.7146,9.2429266
-73.0257321,47.626216,0.5,1.7146,9.1014293
-73.0968143,47.6965386,0.5,1.7146,8.9596432
-73.1678264,47.7669331,0.5,1.7146,8.8174466
-73.2387571,47.8374134,0.5,1.7146,8.6747114
-73.3095947,47.9079933,0.5,1.7146,8.531303
-73.3803277,47.9786866,0.5,1.7146,8.3870791
-73.4509445,48.0495071,0.5,1.7146,8.2418889
-73.5214337,48.1204687,0.5,1.7146,8.095572
-73.5917484,48.191557,0.5,1.7146,7.9533309
-73.661846,48.2628433,0.5030829,1.7115171,7.8173418
-73.7316544,48.3344192,0.5071532,1.7074468,7.6873454
-73.8010866,48.4063623,0.5112236,1.7033764,7.5631049
-73.8700558,48.47875,0.515294,1.699306,7.4444028
-73.9384748,48.5516597,0.5193644,1.6952356,7.3310374
-74.0062569,48.625169,0.5234347,1.6911653,7.2228193
-74.073315,48.6993554,0.5275051,1.6870949,7.1195668
-74.1395622,48.7742963,0.5315755,1.6830245,7.0211014
-74.2049116,48.8500692,0.5356458,1.6789542,6.9272435
-74.26921,48.926669,0.5397162,1.6748838,6.836421
-74.3324048,49.0041798,0.5538806,1.6605268,6.7479908
-74.3944305,49.0826583,0.5713832,1.6427679,6.6619315
-74.4551922,49.1621265,0.5888859,1.6250089,6.578222
-74.5145949,49.2426065,0.6063885,1.60725,6.4968385
-74.5725438,49.3241202,0.6238911,1.5894911,6.4177505
-74.6289439,49.4066897,0.6413937,1.5717322,6.340917
-74.6837003,49.490337,0.6588964,1.5539733,6.2662817
-74.7367182,49.5750842,0.676399,1.5362144,6.1937683
-74.7879027,49.6609533,0.6939016,1.5184554,6.1232748
-74.8372379,49.7481114,0.7114042,1.5006965,6.0552782
-74.8845477,49.8364702,0.7434336,1.4651378,5.9902407
-74.9296557,49.9259354,0.7804204,1.4235046,5.9284275
-74.9724234,50.0164773,0.8174073,1.3818714,5.8701071
-75.0127122,50.1080665,0.8543941,1.3402382,5.8155456
-75.0503833,50.2006734,0.891381,1.298605,5.7649999
-75.0852981,50.2942685,0.9283678,1.2569718,5.7187092
-75.1173181,50.3888221,0.9653546,1.2153386,5.676884
-75.1463046,50.4843048,1.0023415,1.1737054,5.6396934
-75.1721189,50.5806869,1.0393283,1.1320722,5.6072504
-75.1947007,50.6782781,1.0763152,1.090439,5.5755674
-75.2138856,50.7767656,1.1212778,1.0367551,5.5437151
-75.2295716,50.8758532,1.1690479,0.9788294,5.5118663
-75.2416918,50.975383,1.2168179,0.9209037,5.4807513
-75.2501792,51.0751974,1.264588,0.8629781,5.4509393
-75.2549669,51.1751385,1.312358,0.8050524,5.4230149
-75.2559877,51.2750488,1.3601281,0.7471267,5.3975771
-75.2531749,51.3747703,1.4078982,0.689201,5.3752369
-75.2464614,51.4741454,1.4556682,0.6312754,5.356613
-75.2357802,51.5730164,1.5034383,0.5733497,5.3423244
-75.2209426,51.6719829,1.5512083,0.515424,5.3286006
-75.2019707,51.7703331,1.5737636,0.5,5.3148689
